Date,Time,CPU,RSS,VSZ,Allocated_descriptors
2021-12-29,15:50:48,6.8%,8164.02Mb,33592.09Mb,30560
2021-12-29,15:50:53,6.8%,8164.02Mb,33592.09Mb,30624
2021-12-29,15:50:58,7.1%,8164.02Mb,33592.09Mb,30656
2021-12-29,15:51:03,6.5%,8164.03Mb,33592.09Mb,30592
2021-12-29,15:51:08,6.7%,8164.03Mb,33592.09Mb,30560
2021-12-29,15:51:13,6.8%,8164.03Mb,33592.09Mb,30592
2021-12-29,15:51:18,6.4%,8164.03Mb,33592.09Mb,30624
2021-12-29,15:51:23,6.5%,8164.03Mb,33592.09Mb,30592
2021-12-29,15:51:28,6.7%,8164.03Mb,33592.09Mb,30560
2021-12-29,15:51:33,6.5%,8164.11Mb,33592.09Mb,30624
2021-12-29,15:51:38,7.1%,8164.11Mb,33592.09Mb,30560
2021-12-29,15:51:43,8.4%,8164.12Mb,33592.09Mb,30592
2021-12-29,15:51:48,8.0%,8164.12Mb,33592.09Mb,30592
2021-12-29,15:51:53,9.6%,8164.12Mb,33592.09Mb,30560
2021-12-29,15:51:58,7.6%,8164.12Mb,33592.09Mb,30528
2021-12-29,15:52:03,6.5%,8164.13Mb,33592.09Mb,30496
